SAP_TABLE_NAME,SAP_TABLE_DESCRIPTION
VITMRNRULEPR,Individual Renewal Rule
WRF4,Plant/ Departments
SKB1,G/L account master (company code)
STAS,BOMs - Item Selection
VICARSDATE,Resubmission Date
BFIT_A0,FI Subseq.BA/PC Adjustmnt: Zero Bal.Postings for Bus.Area
CBPT,Text Table for Business Process Master
COBK,CO Object: Document Header
EKEK,Header Data for Scheduling Agreement Releases
EKET,Scheduling Agreement Schedule Lines
KBKO,Header Record for Capacity Requirements
JITPGD,JIT: Unloading Points and Assembly Locations per Customer
VEDA,Contract Data
AFKO_KAL,Storing calendar selections for Maintenance Order
BP000,Business Partner Master (General Data)
BP1000,BP: Business Partner - Role
IFLOT,Functional Location (Table)
KNBK,Customer Master (Bank Details)
LFB5,Vendor master (dunning data)
LFM1,Vendor master record purchasing organization data
CSKB,Cost Elements (Data Dependent on Controlling Area)
EQST,Equipment to BOM Link
MLAN,Tax Classification for Material
RF048,Subseq.BA/PC Adjustmnt: Index/Distributn Vector (Calculate)
BSIS,Accounting: Secondary Index for G/L Accounts
IMRG,Measurement Document
JSTO,Status object information
T002,Language Keys (Component BC-I18)
TAPL,Allocation of task lists to functional locations
VIAJOBJCOMP,Contract/Rental Object: COMP
VIAJTERM,Contract/Rental Object: Adjustment Term
VIBDMEAS,Measurement
ADR13,Pager (Business Address Services)
ADR6,E-Mail Addresses (Business Address Services)
ADRCT,Address Texts (Business Address Services)
KSSK,Allocation Table: Object to Class
MSKA,Sales Order Stock
MSPR,Project Stock
MVER,Material Consumption
PLFH,Task list - production resources/tools
T604,Foreign Trade: Commodity Code / Import Code Number
KNVA,Customer Master Unloading Points
KNZA,Permitted Alternative Payer
MHIS,Maintenance plan history
PLAB,Relationships
PLAS,Task list - selection of operations/activities
QPMZ,Assignment table - insp. methods/master insp. characteristic
QMTB,Inspection method master record
QMUR,Quality notification - causes
QPCD,Inspection catalog codes
QPCT,Code texts
VBEP,Sales Document: Schedule Line Data
BUT000,BP: General data I
BUT0IS,BP: Industries
BUT100,BP: Roles
DMS_PHRE_CD1,DVS: Outgoing links PHIOS for main originals
DMS_PH_CD1,DVS: PHIOS of main originals
DMS_PH_HD1,DVS: PHIOS of additional originals
KONV,Conditions (Transaction Data)
PLPO,Task list - operation/activity
PLZU,Routing data for group
TKA01,Controlling Areas
COOI,Commitments Management: Line Items
CUOB,Assignment of Object to Dependency
KAKO,Capacity Header Segment
SKAT,G/L Account Master Record (Chart of Accounts: Description)
STKO,BOM Header
VIBPOBJREL,Business Partner-Object Relationship
VICAINTRENO,Assignment of INTRENO / OBJNR / IMKEY
VIEXFIWTITEM,Term: Withholding Tax Item
WITH_ITEM,Witholding tax info per W/tax type and FI line item
ANLV,Insurance data
BFOD_A,FI Subsequent BA/PC Adjustment: Customer Items
CBPR,CO-ABC: Activity Master Table
CRVD_A,Link of PRT to Document
CRVS_A,Relationship of PRT internal number to PRT external number
EIKP,Foreign Trade: Export/Import Header Data
EKKN,Account Assignment in Purchasing Document
AENV,ECH: Object Types for Change Master
AEPF,ECM: effectivity
AFFL,Work order sequence
BKPF,Accounting Document Header
BP030,BP: Business partner - address
BP1030,BP: Business partner - reporting data
KNB5,Customer master (dunning data)
LFEI,Vendor Master: Preference for Import and Export
LFLR,Vendor Master Record: Supply Regions
LFZA,Permitted Alternative Payee
MVKE,Sales Data for Material
BP3010,Additional Data
CRCO,Assignment of Work Center to Cost Center
CSKS,Cost Center Master Data
CSLT,Activity type texts
EKUB,Index for Stock Transport Orders for Material
EQKT,Equipment Short Texts
MKAL,Production Versions of Material
MKAL_AEND,Change History of Production Version (Recipes Only)
MLGT,Material Data for Each Storage Type
PROP,Forecast parameters
PVBE,Supply area
BSAK,Accounting: Secondary Index for Vendors (Cleared Items)
BSID,Accounting: Secondary Index for Customers
IMPTT,Measuring Point (Table)
T003P,Order Type Descriptions
TB006,BP data sources: Text
VEPO,Packing: Handling Unit Item (Contents)
VIBDAO,Architectural Object
VIBDBE,Business Entity
ADR11,SSF (Business Address Services)
ADR4,Teletex Numbers (Business Address Services)
ADRC,Addresses (Business Address Services)
HUSSTAT,Individual Status for Each Handling Unit
MAPE,Material Master: Export Control File
MAPL,Assignment of Task Lists to Materials
MARA,General Material Data
MARC,Plant Data for Material
MBEW,Material Valuation
PLMW,MAPL-Dependent Charac. Specifications (Inspection Plan)
DRAP,Document Log File
FDES,Cash Management and Forecast: Memo Records
KNVL,Customer Master Licenses
VBUP,Sales Document: Item Status
VBUV,Sales Document: Incompletion Log
BUT020,BP: Addresses
BVOR,Intercompany posting procedures
CJIT03,JIT : Conversion of External Status Information
DMS_DOC_FILES,DMS: File Names for Documents
DMS_LO_HD1,DVS: LIOS of addtional files (help document)
DMS_PHF_HD1,DVS: PHIOS Components of additional files (help document)
DMS_PHIO2FILE,DMS: File Name for Phios
DMS_RELA,DVS: Instances of links
KONDDP,Conditions: Additional Materials for Material Determination
TKA02,Controlling area assignment
VISRTMSBRH,Assignment of Frequency Rule to Sales Rule
VITMNTRULEDR,Individual Deadline Regulation
VITMOA,Term: Organizational Assignment
VITMRH,Terms: Frequency Rule
VITMRN,Renewal Term
VZOBJECT,Object Data (Virtual Object)
CUKBT,Text Table for Dependency Maintenance Admin. Information
MPOS,Maintenance item
VICARSRULE,Resubmission Rule for Object
VICNCN,Real Estate Contract
VICNDPACTUAL,Actual Security Deposit
ANEV,Asset downpymt settlement
ANKA,Asset classes:  general data
ANLZ,Time-Dependent Asset Allocations
CAWNT,Value Texts
EINE,Purchasing Info Record: Purchasing Organization Data
EKEH,Scheduling Agreement Release Documentation
EKPO,Purchasing Document Item
VCKUN,Assign customer-credit card
AEDT,Engineering Change Management: Alternative Dates
AEOI,ECH: Object Management Records for Change Master
IFLOS,Functional Location Labels
KNC3,Customer master (special G/L transaction figures)
LFAT,Vendor master record  (tax groupings)
LFM2,Vendor Master Record: Purchasing Data
CRCA,Work Center Capacity Allocation
CSSK,Cost center  /cost element
EQUI,Equipment master data
PRTE,Scheduling Data for Project Item
RPSCO,"Project info database: Costs, revenues, finances"
TCURR,Exchange Rates
TCYTM,Transition matrix
WYT1,Vendor Subrange
WYT1T,Vendor Sub-Range Description
